var,name,mean,lwr,upr,string
Peak Ct,"First Infection, unvaccinated",26.7,25.1,28.2,"26.7 (25.1, 28.2)"
Peak Ct,"First infection, vaccinated",27,24.2,29.3,"27 (24.2, 29.3)"
Peak Ct,"Second Infection, no intervening dose",28.6,24.9,31.6,"28.6 (24.9, 31.6)"
Peak Ct,"Second infection, intervening dose",27.9,26.7,29.1,"27.9 (26.7, 29.1)"
Peak GEML,"First Infection, unvaccinated",6.3,5.9,6.8,"6.3 (5.9, 6.8)"
Peak GEML,"First infection, vaccinated",6.3,5.6,7,"6.3 (5.6, 7)"
Peak GEML,"Second Infection, no intervening dose",5.8,5,6.8,"5.8 (5, 6.8)"
Peak GEML,"Second infection, intervening dose",6,5.7,6.4,"6 (5.7, 6.4)"
Proliferation time,"First Infection, unvaccinated",4.1,3.4,5,"4.1 (3.4, 5)"
Proliferation time,"First infection, vaccinated",3.7,2.5,5.3,"3.7 (2.5, 5.3)"
Proliferation time,"Second Infection, no intervening dose",4.1,2.5,6.5,"4.1 (2.5, 6.5)"
Proliferation time,"Second infection, intervening dose",4.5,3.6,5.6,"4.5 (3.6, 5.6)"
Clearance time,"First Infection, unvaccinated",8.7,7.6,10.1,"8.7 (7.6, 10.1)"
Clearance time,"First infection, vaccinated",8.4,6.5,10.5,"8.4 (6.5, 10.5)"
Clearance time,"Second Infection, no intervening dose",6.2,4.2,8.5,"6.2 (4.2, 8.5)"
Clearance time,"Second infection, intervening dose",5.2,4.5,5.9,"5.2 (4.5, 5.9)"
Proliferation rate (Ct/day),"First Infection, unvaccinated",3.3,2.5,4.1,"3.3 (2.5, 4.1)"
Proliferation rate (Ct/day),"First infection, vaccinated",3.6,2.3,5.4,"3.6 (2.3, 5.4)"
Proliferation rate (Ct/day),"Second Infection, no intervening dose",3,1.6,4.9,"3 (1.6, 4.9)"
Proliferation rate (Ct/day),"Second infection, intervening dose",2.7,2.1,3.5,"2.7 (2.1, 3.5)"
Clearance rate (Ct/day),"First Infection, unvaccinated",1.5,1.3,1.8,"1.5 (1.3, 1.8)"
Clearance rate (Ct/day),"First infection, vaccinated",1.6,1.1,2.2,"1.6 (1.1, 2.2)"
Clearance rate (Ct/day),"Second Infection, no intervening dose",1.9,1.2,2.9,"1.9 (1.2, 2.9)"
Clearance rate (Ct/day),"Second infection, intervening dose",2.4,2,2.8,"2.4 (2, 2.8)"
Symmetry (proliferation/clearance),"First Infection, unvaccinated",0.5,0.4,0.6,"0.5 (0.4, 0.6)"
Symmetry (proliferation/clearance),"First infection, vaccinated",0.5,0.3,0.7,"0.5 (0.3, 0.7)"
Symmetry (proliferation/clearance),"Second Infection, no intervening dose",0.7,0.4,1.2,"0.7 (0.4, 1.2)"
Symmetry (proliferation/clearance),"Second infection, intervening dose",0.9,0.7,1.2,"0.9 (0.7, 1.2)"
