var,name,mean,lwr,upr,string
Peak Ct,First Infection,26.3,24.6,28.1,"26.3 (24.6, 28.1)"
Peak Ct,Second Infection,28.4,25.9,30.6,"28.4 (25.9, 30.6)"
Peak GEML,First Infection,6.4,6,6.9,"6.4 (6, 6.9)"
Peak GEML,Second Infection,5.9,5.3,6.6,"5.9 (5.3, 6.6)"
Proliferation time,First Infection,4.2,3.3,5.4,"4.2 (3.3, 5.4)"
Proliferation time,Second Infection,3.8,2.6,5.5,"3.8 (2.6, 5.5)"
Clearance time,First Infection,9.2,7.9,10.6,"9.2 (7.9, 10.6)"
Clearance time,Second Infection,6.4,5,8.3,"6.4 (5, 8.3)"
Proliferation rate (Ct/day),First Infection,3.3,2.4,4.3,"3.3 (2.4, 4.3)"
Proliferation rate (Ct/day),Second Infection,3.2,2,4.7,"3.2 (2, 4.7)"
Clearance rate (Ct/day),First Infection,1.5,1.2,1.8,"1.5 (1.2, 1.8)"
Clearance rate (Ct/day),Second Infection,1.8,1.3,2.5,"1.8 (1.3, 2.5)"
Symmetry (proliferation/clearance),First Infection,0.5,0.3,0.6,"0.5 (0.3, 0.6)"
Symmetry (proliferation/clearance),Second Infection,0.6,0.4,0.9,"0.6 (0.4, 0.9)"
