var,name,mean,lwr,upr,string
Peak Ct,First Infection,25.7,24.6,26.7,"25.7 (24.6, 26.7)"
Peak Ct,Second Infection,26.9,25.7,28,"26.9 (25.7, 28)"
Peak GEML,First Infection,6.6,6.4,6.9,"6.6 (6.4, 6.9)"
Peak GEML,Second Infection,6.3,6,6.6,"6.3 (6, 6.6)"
Proliferation time,First Infection,4.9,4.1,5.8,"4.9 (4.1, 5.8)"
Proliferation time,Second Infection,4.1,3.2,5.2,"4.1 (3.2, 5.2)"
Clearance time,First Infection,9.3,8.5,10.2,"9.3 (8.5, 10.2)"
Clearance time,Second Infection,6.6,5.8,7.3,"6.6 (5.8, 7.3)"
Proliferation rate (Ct/day),First Infection,3,2.4,3.6,"3 (2.4, 3.6)"
Proliferation rate (Ct/day),Second Infection,3.3,2.5,4.2,"3.3 (2.5, 4.2)"
Clearance rate (Ct/day),First Infection,1.5,1.4,1.7,"1.5 (1.4, 1.7)"
Clearance rate (Ct/day),Second Infection,2,1.7,2.3,"2 (1.7, 2.3)"
Symmetry (proliferation/clearance),First Infection,0.5,0.4,0.6,"0.5 (0.4, 0.6)"
Symmetry (proliferation/clearance),Second Infection,0.6,0.5,0.8,"0.6 (0.5, 0.8)"
