var,name,mean,lwr,upr,string
Peak Ct,First Infection,26.4,25.1,27.5,"26.4 (25.1, 27.5)"
Peak Ct,Second Infection,27.6,26.8,28.5,"27.6 (26.8, 28.5)"
Peak GEML,First Infection,6.4,6.1,6.8,"6.4 (6.1, 6.8)"
Peak GEML,Second Infection,6.1,5.8,6.3,"6.1 (5.8, 6.3)"
Proliferation time,First Infection,3.8,3.2,4.6,"3.8 (3.2, 4.6)"
Proliferation time,Second Infection,4.4,3.7,5.2,"4.4 (3.7, 5.2)"
Clearance time,First Infection,8.7,7.8,9.7,"8.7 (7.8, 9.7)"
Clearance time,Second Infection,5.1,4.6,5.7,"5.1 (4.6, 5.7)"
Proliferation rate (Ct/day),First Infection,3.6,2.8,4.4,"3.6 (2.8, 4.4)"
Proliferation rate (Ct/day),Second Infection,2.8,2.3,3.4,"2.8 (2.3, 3.4)"
Clearance rate (Ct/day),First Infection,1.6,1.4,1.8,"1.6 (1.4, 1.8)"
Clearance rate (Ct/day),Second Infection,2.4,2.1,2.8,"2.4 (2.1, 2.8)"
Symmetry (proliferation/clearance),First Infection,0.4,0.3,0.6,"0.4 (0.3, 0.6)"
Symmetry (proliferation/clearance),Second Infection,0.9,0.7,1.1,"0.9 (0.7, 1.1)"
