var,name,mean,lwr,upr,string
Peak Ct,"First Infection, baseline",25.6,24.5,26.6,"25.6 (24.5, 26.6)"
Peak Ct,"Second Infection, baseline",26.4,25,27.6,"26.4 (25, 27.6)"
Peak Ct,"First Infection, with two well-documented",25.9,24.6,27.1,"25.9 (24.6, 27.1)"
Peak Ct,"Second Infection, with two well-documented",27.4,25.9,28.7,"27.4 (25.9, 28.7)"
Peak GEML,"First Infection, baseline",6.7,6.4,7,"6.7 (6.4, 7)"
Peak GEML,"Second Infection, baseline",6.4,6.1,6.8,"6.4 (6.1, 6.8)"
Peak GEML,"First Infection, with two well-documented",6.6,6.2,6.9,"6.6 (6.2, 6.9)"
Peak GEML,"Second Infection, with two well-documented",6.2,5.8,6.6,"6.2 (5.8, 6.6)"
Proliferation time,"First Infection, baseline",5.1,4.1,6.2,"5.1 (4.1, 6.2)"
Proliferation time,"Second Infection, baseline",4.4,3.3,5.7,"4.4 (3.3, 5.7)"
Proliferation time,"First Infection, with two well-documented",4.5,3.5,5.8,"4.5 (3.5, 5.8)"
Proliferation time,"Second Infection, with two well-documented",4,2.9,5.4,"4 (2.9, 5.4)"
Clearance time,"First Infection, baseline",9.3,8.4,10.3,"9.3 (8.4, 10.3)"
Clearance time,"Second Infection, baseline",6.7,5.8,7.7,"6.7 (5.8, 7.7)"
Clearance time,"First Infection, with two well-documented",9.2,8.1,10.3,"9.2 (8.1, 10.3)"
Clearance time,"Second Infection, with two well-documented",6.3,5.3,7.4,"6.3 (5.3, 7.4)"
Proliferation rate (Ct/day),"First Infection, baseline",2.9,2.3,3.6,"2.9 (2.3, 3.6)"
Proliferation rate (Ct/day),"Second Infection, baseline",3.1,2.3,4.2,"3.1 (2.3, 4.2)"
Proliferation rate (Ct/day),"First Infection, with two well-documented",3.2,2.4,4.1,"3.2 (2.4, 4.1)"
Proliferation rate (Ct/day),"Second Infection, with two well-documented",3.2,2.2,4.5,"3.2 (2.2, 4.5)"
Clearance rate (Ct/day),"First Infection, baseline",1.6,1.4,1.8,"1.6 (1.4, 1.8)"
Clearance rate (Ct/day),"Second Infection, baseline",2,1.7,2.4,"2 (1.7, 2.4)"
Clearance rate (Ct/day),"First Infection, with two well-documented",1.5,1.3,1.8,"1.5 (1.3, 1.8)"
Clearance rate (Ct/day),"Second Infection, with two well-documented",2,1.6,2.5,"2 (1.6, 2.5)"
Symmetry (proliferation/clearance),"First Infection, baseline",0.5,0.4,0.7,"0.5 (0.4, 0.7)"
Symmetry (proliferation/clearance),"Second Infection, baseline",0.7,0.5,0.9,"0.7 (0.5, 0.9)"
Symmetry (proliferation/clearance),"First Infection, with two well-documented",0.5,0.4,0.7,"0.5 (0.4, 0.7)"
Symmetry (proliferation/clearance),"Second Infection, with two well-documented",0.6,0.4,0.9,"0.6 (0.4, 0.9)"
