var,name,mean,lwr,upr,string
Peak Ct,"First infection, unboosted",25.8,24.8,26.8,"25.8 (24.8, 26.8)"
Peak Ct,"First infection, boosted",25.9,25.3,26.5,"25.9 (25.3, 26.5)"
Peak Ct,"Repeat infection, unboosted",26.7,25.1,28.3,"26.7 (25.1, 28.3)"
Peak Ct,"Repeat infection, boosted",27,26,28,"27 (26, 28)"
Peak GEML,"First infection, unboosted",6.6,6.3,6.9,"6.6 (6.3, 6.9)"
Peak GEML,"First infection, boosted",6.6,6.4,6.7,"6.6 (6.4, 6.7)"
Peak GEML,"Repeat infection, unboosted",6.3,5.9,6.8,"6.3 (5.9, 6.8)"
Peak GEML,"Repeat infection, boosted",6.3,6,6.5,"6.3 (6, 6.5)"
Proliferation time,"First infection, unboosted",4.5,3.7,5.2,"4.5 (3.7, 5.2)"
Proliferation time,"First infection, boosted",5.2,4.6,6,"5.2 (4.6, 6)"
Proliferation time,"Repeat infection, unboosted",3.7,2.8,4.8,"3.7 (2.8, 4.8)"
Proliferation time,"Repeat infection, boosted",4.6,3.7,5.8,"4.6 (3.7, 5.8)"
Clearance time,"First infection, unboosted",6.1,5.5,6.7,"6.1 (5.5, 6.7)"
Clearance time,"First infection, boosted",7.1,6.7,7.6,"7.1 (6.7, 7.6)"
Clearance time,"Repeat infection, unboosted",4.4,3.8,5.2,"4.4 (3.8, 5.2)"
Clearance time,"Repeat infection, boosted",5.1,4.5,5.7,"5.1 (4.5, 5.7)"
Proliferation rate (Ct/day),"First infection, unboosted",3.2,2.7,3.9,"3.2 (2.7, 3.9)"
Proliferation rate (Ct/day),"First infection, boosted",2.7,2.3,3.1,"2.7 (2.3, 3.1)"
Proliferation rate (Ct/day),"Repeat infection, unboosted",3.7,2.6,5,"3.7 (2.6, 5)"
Proliferation rate (Ct/day),"Repeat infection, boosted",2.8,2.2,3.6,"2.8 (2.2, 3.6)"
Clearance rate (Ct/day),"First infection, unboosted",2.3,2.1,2.6,"2.3 (2.1, 2.6)"
Clearance rate (Ct/day),"First infection, boosted",2,1.8,2.1,"2 (1.8, 2.1)"
Clearance rate (Ct/day),"Repeat infection, unboosted",3,2.4,3.7,"3 (2.4, 3.7)"
Clearance rate (Ct/day),"Repeat infection, boosted",2.6,2.2,3,"2.6 (2.2, 3)"
Symmetry (proliferation/clearance),"First infection, unboosted",0.7,0.6,0.9,"0.7 (0.6, 0.9)"
Symmetry (proliferation/clearance),"First infection, boosted",0.7,0.6,0.9,"0.7 (0.6, 0.9)"
Symmetry (proliferation/clearance),"Repeat infection, unboosted",0.8,0.6,1.2,"0.8 (0.6, 1.2)"
Symmetry (proliferation/clearance),"Repeat infection, boosted",0.9,0.7,1.2,"0.9 (0.7, 1.2)"
