var,name,mean,lwr,upr,string
Peak Ct,First infection,24.2,20.9,27.2,"24.2 (20.9, 27.2)"
Peak Ct,Repeat infection,25.5,22.2,28.3,"25.5 (22.2, 28.3)"
Peak GEML,First infection,7,6.2,8,"7 (6.2, 8)"
Peak GEML,Repeat infection,6.7,5.9,7.6,"6.7 (5.9, 7.6)"
Proliferation time,First infection,5.1,4.1,6.3,"5.1 (4.1, 6.3)"
Proliferation time,Repeat infection,4.4,3.4,5.6,"4.4 (3.4, 5.6)"
Clearance time,First infection,7.5,6,9.2,"7.5 (6, 9.2)"
Clearance time,Repeat infection,5.3,4.3,6.6,"5.3 (4.3, 6.6)"
Proliferation rate (Ct/day),First infection,3.1,2.3,4.1,"3.1 (2.3, 4.1)"
Proliferation rate (Ct/day),Repeat infection,3.4,2.4,4.6,"3.4 (2.4, 4.6)"
Clearance rate (Ct/day),First infection,2.1,1.5,2.8,"2.1 (1.5, 2.8)"
Clearance rate (Ct/day),Repeat infection,2.8,2,3.7,"2.8 (2, 3.7)"
Symmetry (proliferation/clearance),First infection,0.7,0.5,0.9,"0.7 (0.5, 0.9)"
Symmetry (proliferation/clearance),Repeat infection,0.8,0.6,1.1,"0.8 (0.6, 1.1)"
